ENSMUSG00000027669	chr3-32396289-32398208
ENSMUSG00000004895	chr3-87565539-87566812
ENSMUSG00000027646	chr2-157078103-157079979
ENSMUSG00000026858	chr2-30692033-30694040
ENSMUSG00000026857	chr2-30817729-30819180
ENSMUSG00000039660	chr2-29619254-29620771
ENSMUSG00000078201	chr2-24949195-24950580
ENSMUSG00000027018	chr2-71580625-71582395
ENSMUSG00000019710	chr3-88199904-88201319
ENSMUSG00000026283	chr1-93619908-93621785
ENSMUSG00000008604	chr3-88620931-88623840
ENSMUSG00000017670	chr2-164975805-164977154
ENSMUSG00000115018	chr2-25291609-25293483
ENSMUSG00000006494	chr2-71528321-71530320
ENSMUSG00000042854	chr2-166174581-166176050
ENSMUSG00000039246	chr1-185454333-185456194
ENSMUSG00000075012	chr2-102635070-102636757
ENSMUSG00000035033	chr2-61802556-61805860
ENSMUSG00000038312	chr2-155517536-155518748
ENSMUSG00000027347	chr2-117307891-117308561
ENSMUSG00000027332	chr2-118628863-118630140
ENSMUSG00000033396	chr2-121587980-121588975
ENSMUSG00000026072	chr1-40680144-40682442
ENSMUSG00000027589	chr2-181496211-181497920
ENSMUSG00000026848	chr2-30435538-30436401
ENSMUSG00000044627	chr2-32403264-32405333
ENSMUSG00000049940	chr3-40845628-40847497
ENSMUSG00000087549	chr2-31653773-31655529
ENSMUSG00000039660	chr2-29819784-29821174
ENSMUSG00000039671	chr2-165885348-165886168
ENSMUSG00000034220	chr1-92933878-92935308
ENSMUSG00000070880	chr2-69896885-69898800
ENSMUSG00000070476	chr2-178204274-178205062
ENSMUSG00000038733	chr1-180762892-180764375
ENSMUSG00000026278	chr1-93577108-93578509
ENSMUSG00000032902	chr3-104993615-104994799
ENSMUSG00000074807	chr2-129231618-129233080
ENSMUSG00000027327	chr2-131141305-131143311
ENSMUSG00000001418	chr3-88536210-88537306
ENSMUSG00000016526	chr1-131351153-131352136
ENSMUSG00000079442	chr2-32852095-32852771
ENSMUSG00000027479	chr2-153668583-153669813
ENSMUSG00000026307	chr1-91209207-91210431
ENSMUSG00000068921	chr3-88526148-88526701
ENSMUSG00000026305	chr1-91249609-91251277
ENSMUSG00000118506	chr3-90117828-90118910
ENSMUSG00000102548	chr1-167246934-167248338
ENSMUSG00000041040	chr1-59669906-59671455
ENSMUSG00000015839	chr2-75220438-75221833
ENSMUSG00000039046	chr2-6435795-6436824
ENSMUSG00000026600	chr1-156656678-156659008
ENSMUSG00000063273	chr3-51364776-51366159
ENSMUSG00000068040	chr2-152847386-152848396
ENSMUSG00000026037	chr1-58614365-58615024
ENSMUSG00000026042	chr1-45672388-45674057
ENSMUSG00000087260	chr3-107482943-107484919
ENSMUSG00000050174	chr3-37290640-37292548
ENSMUSG00000052759	chr1-136233388-136234904
ENSMUSG00000026489	chr1-179709049-179710054
ENSMUSG00000039515	chr2-30699220-30700551
ENSMUSG00000027286	chr2-119995019-119996345
ENSMUSG00000027782	chr3-68614871-68615782
ENSMUSG00000010175	chr1-189631376-189633022
ENSMUSG00000036432	chr3-58113821-58114531
ENSMUSG00000038671	chr2-180568779-180570499
ENSMUSG00000038608	chr1-81098409-81099866
ENSMUSG00000007476	chr2-30205239-30206577
ENSMUSG00000034278	chr2-118597605-118598632
ENSMUSG00000028133	chr3-120897064-120898795
ENSMUSG00000026385	chr1-119648092-119649523
ENSMUSG00000026786	chr2-23051392-23053034
ENSMUSG00000015790	chr2-27217948-27219362
ENSMUSG00000038793	chr1-180427479-180429000
ENSMUSG00000087549	chr2-31220822-31223528
ENSMUSG00000028033	chr1-21676455-21677923
ENSMUSG00000033486	chr2-121587980-121588975
ENSMUSG00000073627	chr1-86339042-86339987
ENSMUSG00000073530	chr1-158547133-158548477
ENSMUSG00000090213	chr2-167316356-167317443
ENSMUSG00000004892	chr3-88144044-88144538
ENSMUSG00000039356	chr2-31784646-31785730
ENSMUSG00000026311	chr1-91600479-91601473
ENSMUSG00000038806	chr1-180725307-180726709
ENSMUSG00000039536	chr2-166402812-166403932
ENSMUSG00000002105	chr2-90916387-90918612
ENSMUSG00000049401	chr2-180472296-180473634
ENSMUSG00000059013	chr2-32679720-32681039
ENSMUSG00000027884	chr3-108100930-108103018
ENSMUSG00000038495	chr3-95731649-95733481
ENSMUSG00000027242	chr2-121448301-121450249
ENSMUSG00000102517	chr2-4436132-4437584
ENSMUSG00000074643	chr2-155944862-155946572
ENSMUSG00000033486	chr2-121210943-121212257
ENSMUSG00000027067	chr2-85049309-85051177
ENSMUSG00000026179	chr1-74806434-74808617
ENSMUSG00000003134	chr1-39649706-39651435
ENSMUSG00000040596	chr1-166395097-166396581
ENSMUSG00000000826	chr2-181384150-181385606
ENSMUSG00000034317	chr3-68587313-68588249
ENSMUSG00000020423	chr1-133980965-133981698
ENSMUSG00000038608	chr1-81076106-81078269
ENSMUSG00000090625	chr2-173701932-173703133
ENSMUSG00000050447	chr2-49694755-49696261
ENSMUSG00000062006	chr3-130708595-130710038
ENSMUSG00000044783	chr1-88594188-88595328
ENSMUSG00000003135	chr1-39856560-39858522
ENSMUSG00000027950	chr3-89912136-89913800
ENSMUSG00000028187	chr3-146597933-146599946
ENSMUSG00000033808	chr2-119803439-119804215
ENSMUSG00000026959	chr2-25228332-25229035
ENSMUSG00000106093	chr3-105505218-105507267
ENSMUSG00000048234	chr1-40023042-40025358
ENSMUSG00000102009	chr1-89195973-89196616
ENSMUSG00000028005	chr3-81943029-81943987
ENSMUSG00000027933	chr3-89940961-89942103
ENSMUSG00000041977	chr3-87986750-87988430
ENSMUSG00000026158	chr1-23382514-23383807
ENSMUSG00000028039	chr3-89613438-89614522
ENSMUSG00000068744	chr3-108385997-108386757
ENSMUSG00000026817	chr2-32343958-32344460
ENSMUSG00000027375	chr2-127888786-127890030
ENSMUSG00000027939	chr3-90264745-90266717
ENSMUSG00000039356	chr2-31726751-31729856
ENSMUSG00000026436	chr1-131602049-131603255
ENSMUSG00000039041	chr2-179975825-179978066
ENSMUSG00000009563	chr2-32784023-32785482
ENSMUSG00000014353	chr2-128697880-128699744
ENSMUSG00000106032	chr3-94487642-94488275
ENSMUSG00000048186	chr2-4509079-4510881
ENSMUSG00000027406	chr2-129627636-129628424
ENSMUSG00000026200	chr1-75210361-75211422
ENSMUSG00000018770	chr2-73919360-73920229
ENSMUSG00000027651	chr2-157487483-157488345
ENSMUSG00000026817	chr2-32486904-32487769
ENSMUSG00000002455	chr2-180996133-180997526
ENSMUSG00000027244	chr2-91194338-91195447
ENSMUSG00000026078	chr1-38626363-38628956
ENSMUSG00000026510	chr1-181923252-181923999
ENSMUSG00000026854	chr2-30692033-30694040
ENSMUSG00000105279	chr3-143291202-143292239
ENSMUSG00000018189	chr1-143803287-143804052
ENSMUSG00000027247	chr2-91870679-91871618
ENSMUSG00000026172	chr1-74815900-74817689
ENSMUSG00000042642	chr3-88913432-88914745
ENSMUSG00000027637	chr2-156720380-156721838
ENSMUSG00000033544	chr1-156473816-156474651
ENSMUSG00000051177	chr2-134895800-134896734
ENSMUSG00000053332	chr1-161142319-161143886
ENSMUSG00000037509	chr1-34485157-34486425
ENSMUSG00000042572	chr3-89546831-89548224
ENSMUSG00000039983	chr2-118870459-118871820
ENSMUSG00000050530	chr2-3423660-3424949
ENSMUSG00000109887	chr1-18180287-18182351
ENSMUSG00000002546	chr2-32235709-32237597
ENSMUSG00000017897	chr2-164975805-164977154
ENSMUSG00000073557	chr1-134405469-134407100
ENSMUSG00000085519	chr2-72781061-72782323
ENSMUSG00000026427	chr1-131052858-131053675
ENSMUSG00000015522	chr3-95133257-95134181
ENSMUSG00000068732	chr3-108770626-108771563
ENSMUSG00000001768	chr2-145902950-145904670
ENSMUSG00000047793	chr1-93013643-93015790
ENSMUSG00000061518	chr1-36588636-36591199
ENSMUSG00000019710	chr3-88144044-88144538
ENSMUSG00000025971	chr1-57428371-57429535
ENSMUSG00000079671	chr1-9847524-9849115
ENSMUSG00000017721	chr2-164765767-164766224
ENSMUSG00000028187	chr3-146499087-146501823
ENSMUSG00000027340	chr2-131560318-131563427
ENSMUSG00000069094	chr3-19187379-19188846
ENSMUSG00000085767	chr2-26132461-26133713
ENSMUSG00000026489	chr1-180225785-180226831
ENSMUSG00000105753	chr3-105520542-105521996
ENSMUSG00000026853	chr2-29934812-29935826
ENSMUSG00000027936	chr3-90264745-90266717
ENSMUSG00000026473	chr1-153652445-153654142
ENSMUSG00000014226	chr1-160300512-160301863
ENSMUSG00000028098	chr3-96541328-96543861
ENSMUSG00000027978	chr3-123503900-123504288
ENSMUSG00000056145	chr3-107441254-107443377
ENSMUSG00000047824	chr3-89281908-89282380
ENSMUSG00000046062	chr1-132702715-132705087
ENSMUSG00000036707	chr1-86213271-86214767
ENSMUSG00000105552	chr3-89912136-89913800
ENSMUSG00000027950	chr3-89281908-89282380
ENSMUSG00000027296	chr2-119996930-119998155
ENSMUSG00000026617	chr1-185362335-185364029
ENSMUSG00000027714	chr3-36474870-36476535
ENSMUSG00000069495	chr2-49450940-49453219
ENSMUSG00000105824	chr3-100189296-100190261
ENSMUSG00000027637	chr2-156915452-156917213
ENSMUSG00000026249	chr1-79697023-79698335
ENSMUSG00000027894	chr3-107594662-107596941
ENSMUSG00000037754	chr2-158918009-158918844
ENSMUSG00000027763	chr3-60291761-60292832
ENSMUSG00000102014	chr1-127773303-127774926
ENSMUSG00000027637	chr2-156580841-156582028
ENSMUSG00000041040	chr1-59591584-59594062
ENSMUSG00000037408	chr1-36401143-36403517
ENSMUSG00000015522	chr3-95280768-95283802
ENSMUSG00000026388	chr1-120320777-120322019
ENSMUSG00000054766	chr2-30013487-30014969
ENSMUSG00000027739	chr3-51072099-51073296
ENSMUSG00000027222	chr2-92430913-92431654
ENSMUSG00000027195	chr2-93788056-93789160
ENSMUSG00000026188	chr1-72371698-72373387
ENSMUSG00000042215	chr1-34093816-34095010
ENSMUSG00000026810	chr2-32316750-32318722
ENSMUSG00000074649	chr2-155803792-155805684
ENSMUSG00000027998	chr3-82651769-82653041
ENSMUSG00000027405	chr2-130294748-130296376
ENSMUSG00000040506	chr2-91652693-91653470
ENSMUSG00000027347	chr2-117312149-117314186
ENSMUSG00000084781	chr2-92491231-92492544
ENSMUSG00000027223	chr2-92692532-92693349
ENSMUSG00000027429	chr2-144291549-144292642
ENSMUSG00000026817	chr2-32610617-32611125
ENSMUSG00000027193	chr2-94436980-94438829
ENSMUSG00000033021	chr1-75381384-75383141
ENSMUSG00000041959	chr3-93446984-93448013
ENSMUSG00000087679	chr2-26338377-26339782
ENSMUSG00000048234	chr1-39159788-39161565
ENSMUSG00000062580	chr1-134831898-134833026
ENSMUSG00000026556	chr1-172318188-172319032
ENSMUSG00000029419	chr2-25460077-25461711
ENSMUSG00000044337	chr1-90326791-90327887
ENSMUSG00000051747	chr2-76672711-76673418
ENSMUSG00000028063	chr3-88526148-88526701
ENSMUSG00000078161	chr3-154646643-154648536
ENSMUSG00000026767	chr2-12293583-12294542
ENSMUSG00000026924	chr2-26272506-26274222
ENSMUSG00000026455	chr1-134119953-134121403
ENSMUSG00000025816	chr2-6220030-6220830
ENSMUSG00000078201	chr2-24904877-24906112
ENSMUSG00000078919	chr2-168343534-168344591
ENSMUSG00000027714	chr3-36209724-36211784
ENSMUSG00000027637	chr2-156478262-156478715
ENSMUSG00000001419	chr3-88458129-88459435
ENSMUSG00000104969	chr3-144328612-144329950
ENSMUSG00000036850	chr2-24717140-24718479
ENSMUSG00000034738	chr2-68784643-68785404
ENSMUSG00000050043	chr2-84689706-84691453
ENSMUSG00000042572	chr3-90097571-90098913
ENSMUSG00000039844	chr2-29487984-29489331
ENSMUSG00000014226	chr1-160377085-160379180
ENSMUSG00000027502	chr2-172040749-172043740
ENSMUSG00000008226	chr2-73346127-73347336
ENSMUSG00000035576	chr2-162966716-162968947
ENSMUSG00000037754	chr2-158628881-158629674
ENSMUSG00000028096	chr3-96414122-96415536
ENSMUSG00000045174	chr1-34653767-34655110
ENSMUSG00000025949	chr1-64853384-64855634
ENSMUSG00000062127	chr3-104966890-104968415
ENSMUSG00000102416	chr1-36690849-36692437
ENSMUSG00000018196	chr1-143916104-143918633
ENSMUSG00000025933	chr1-21231795-21233056
ENSMUSG00000026810	chr2-32857514-32858047
ENSMUSG00000036086	chr1-128440432-128441713
ENSMUSG00000073616	chr1-92906686-92907920
ENSMUSG00000074576	chr2-168205225-168207811
ENSMUSG00000075040	chr2-91947428-91948317
ENSMUSG00000043909	chr2-121473375-121474707
ENSMUSG00000028176	chr3-158329631-158331708
ENSMUSG00000017670	chr2-164890710-164891783
ENSMUSG00000098097	chr3-121104287-121105750
ENSMUSG00000002455	chr2-180953656-180955430
ENSMUSG00000001419	chr3-87565539-87566812
ENSMUSG00000051703	chr1-75386014-75386519
ENSMUSG00000027667	chr3-33063451-33064491
ENSMUSG00000044628	chr2-25064321-25066135
ENSMUSG00000028161	chr3-136669263-136672208
ENSMUSG00000039021	chr2-32235709-32237597
ENSMUSG00000057738	chr2-29843170-29844768
ENSMUSG00000053552	chr2-130634035-130636386
ENSMUSG00000053925	chr1-170731725-170732949
ENSMUSG00000046519	chr3-95871024-95872332
ENSMUSG00000026917	chr2-27764194-27765502
ENSMUSG00000041889	chr1-135089196-135090135
ENSMUSG00000032841	chr2-101982717-101984246
ENSMUSG00000026527	chr1-175388428-175389904
ENSMUSG00000042641	chr1-153702810-153704603
ENSMUSG00000022995	chr1-181459032-181460516
ENSMUSG00000086714	chr2-26410844-26411824
ENSMUSG00000109865	chr2-3228290-3229544
ENSMUSG00000039145	chr2-5550998-5554369
ENSMUSG00000010538	chr3-88424390-88425494
ENSMUSG00000027220	chr2-92511831-92513394
ENSMUSG00000047617	chr2-25574132-25575332
ENSMUSG00000087086	chr2-14960506-14961699
ENSMUSG00000014601	chr3-107931105-107932322
ENSMUSG00000027582	chr2-181496211-181497920
ENSMUSG00000027983	chr3-131110126-131112682
ENSMUSG00000038473	chr1-170678647-170680337
ENSMUSG00000028187	chr3-146647607-146649801
ENSMUSG00000026469	chr1-155698285-155699187
ENSMUSG00000055547	chr1-152129792-152130931
ENSMUSG00000052534	chr1-168391331-168392713
ENSMUSG00000085439	chr2-71749372-71751702
ENSMUSG00000069020	chr2-29747065-29747802
ENSMUSG00000038034	chr1-172375994-172377411
ENSMUSG00000100394	chr1-152750197-152751327
ENSMUSG00000026411	chr1-135564638-135565684
ENSMUSG00000026833	chr2-28244408-28245391
ENSMUSG00000027175	chr2-104990821-104992499
ENSMUSG00000086994	chr2-29528961-29529867
ENSMUSG00000027942	chr3-89866919-89867905
ENSMUSG00000038860	chr2-32981198-32983013
ENSMUSG00000013465	chr2-25546395-25547353
ENSMUSG00000005813	chr3-138526048-138528353
ENSMUSG00000037885	chr2-129150926-129152074
ENSMUSG00000034216	chr2-118995049-118997134
ENSMUSG00000040843	chr1-165113696-165115445
ENSMUSG00000026234	chr1-85957444-85959890
ENSMUSG00000046519	chr3-95024396-95025614
ENSMUSG00000104283	chr3-33362717-33363954
ENSMUSG00000026104	chr1-52499094-52501014
ENSMUSG00000026817	chr2-32217782-32218902
ENSMUSG00000028104	chr3-96244022-96245542
ENSMUSG00000056476	chr3-58414183-58417358
ENSMUSG00000028017	chr3-129981556-129982816
ENSMUSG00000058318	chr2-91947428-91948317
ENSMUSG00000027584	chr2-181147745-181148177
ENSMUSG00000013698	chr1-172309584-172310522
ENSMUSG00000075419	chr2-30269804-30270831
ENSMUSG00000038844	chr2-143062409-143063734
ENSMUSG00000028057	chr3-88205362-88208710
ENSMUSG00000026017	chr1-59684458-59685971
ENSMUSG00000036352	chr2-26156166-26157269
ENSMUSG00000056900	chr3-32938841-32940400
ENSMUSG00000009418	chr1-135545896-135546673
ENSMUSG00000027809	chr3-79848448-79849436
ENSMUSG00000039983	chr2-118745193-118747051
ENSMUSG00000040265	chr1-162773457-162774427
ENSMUSG00000038990	chr2-179795024-179795934
ENSMUSG00000085741	chr2-156950497-156951876
ENSMUSG00000038740	chr2-33308970-33310186
ENSMUSG00000074578	chr2-166675831-166677460
ENSMUSG00000042851	chr2-128309594-128310549
ENSMUSG00000054387	chr1-133071296-133072446
ENSMUSG00000017740	chr2-164832464-164834834
ENSMUSG00000026463	chr1-133394025-133395525
ENSMUSG00000028060	chr3-88831605-88832155
ENSMUSG00000078201	chr2-25371761-25372799
ENSMUSG00000060445	chr2-178174116-178175849
ENSMUSG00000037325	chr3-36331377-36332561
ENSMUSG00000062169	chr1-181419438-181420622
ENSMUSG00000027223	chr2-91956696-91957724
ENSMUSG00000026596	chr1-156800999-156802743
ENSMUSG00000033705	chr2-120589496-120590977
ENSMUSG00000027263	chr2-120976363-120978307
ENSMUSG00000037197	chr2-11529653-11530761
ENSMUSG00000027195	chr2-93848544-93850236
ENSMUSG00000073627	chr1-86058942-86059911
ENSMUSG00000027613	chr2-156089582-156091234
ENSMUSG00000039783	chr1-175691910-175693570
ENSMUSG00000037514	chr2-131416271-131417178
ENSMUSG00000067578	chr2-172281769-172284214
ENSMUSG00000015095	chr2-25286298-25287806
ENSMUSG00000041997	chr2-70593409-70594084
ENSMUSG00000079056	chr2-127443695-127445125
ENSMUSG00000027210	chr2-116065547-116067489
ENSMUSG00000063972	chr2-38905833-38906719
ENSMUSG00000033701	chr1-155048882-155049504
ENSMUSG00000038079	chr1-59186242-59188331
ENSMUSG00000068739	chr3-108327065-108328994
ENSMUSG00000033364	chr1-74452535-74453363
ENSMUSG00000040591	chr2-91457120-91459389
ENSMUSG00000059361	chr2-152111401-152113509
ENSMUSG00000026228	chr1-85837738-85839286
ENSMUSG00000042066	chr1-132504939-132505596
ENSMUSG00000040648	chr1-98189791-98191163
ENSMUSG00000026817	chr2-32854142-32854603
ENSMUSG00000026270	chr1-93139571-93140518
ENSMUSG00000048058	chr2-102091359-102092396
ENSMUSG00000026970	chr2-60444731-60445718
ENSMUSG00000075316	chr2-66022456-66023918
ENSMUSG00000042997	chr3-53863234-53864576
ENSMUSG00000038369	chr2-155385136-155385538
ENSMUSG00000027520	chr1-63729855-63731117
ENSMUSG00000001018	chr3-89959108-89959930
ENSMUSG00000033701	chr1-155059094-155060564
ENSMUSG00000028039	chr3-89659558-89660927
ENSMUSG00000038495	chr3-96435347-96436537
ENSMUSG00000089917	chr2-180878683-180880170
ENSMUSG00000039844	chr2-29563136-29564884
ENSMUSG00000035513	chr2-29514758-29516535
ENSMUSG00000027896	chr3-107508568-107509210
ENSMUSG00000005034	chr3-146520305-146522113
ENSMUSG00000068739	chr3-108422786-108426240
ENSMUSG00000015711	chr3-95624316-95625802
ENSMUSG00000041642	chr1-136143256-136144243
ENSMUSG00000026127	chr1-34142890-34143876
ENSMUSG00000038305	chr1-58209824-58211343
ENSMUSG00000025949	chr1-64918640-64919788
ENSMUSG00000014602	chr1-93013643-93015790
ENSMUSG00000042520	chr3-89948619-89949479
ENSMUSG00000039041	chr2-180019923-180020520
ENSMUSG00000000194	chr2-31482648-31483633
ENSMUSG00000013465	chr2-24949195-24950580
ENSMUSG00000027583	chr2-181319307-181320302
ENSMUSG00000059361	chr2-152671078-152671990
ENSMUSG00000038990	chr2-180275860-180276169
ENSMUSG00000027584	chr2-180878683-180880170
ENSMUSG00000105304	chr3-104445642-104449004
ENSMUSG00000018322	chr2-164174784-164175747
ENSMUSG00000026409	chr1-131125491-131126777
ENSMUSG00000034903	chr2-64989220-64990290
ENSMUSG00000033096	chr2-150830001-150832418
ENSMUSG00000042747	chr3-89092718-89093652
ENSMUSG00000084946	chr2-71155412-71155991
ENSMUSG00000040782	chr1-158910169-158911815
ENSMUSG00000047459	chr2-155507338-155508654
ENSMUSG00000042747	chr3-89223839-89225084
ENSMUSG00000007097	chr1-172528574-172529177
ENSMUSG00000074656	chr2-154568821-154570386
ENSMUSG00000041907	chr1-43142793-43143812
ENSMUSG00000069020	chr2-29514758-29516535
ENSMUSG00000026921	chr2-26932679-26934305
ENSMUSG00000039041	chr2-180202292-180203699
ENSMUSG00000017969	chr2-167128961-167131056
ENSMUSG00000039831	chr3-122078105-122078823
ENSMUSG00000026917	chr2-27572143-27574136
ENSMUSG00000027942	chr3-89695992-89697133
ENSMUSG00000027282	chr2-90964537-90966176
ENSMUSG00000026754	chr2-38738766-38740111
ENSMUSG00000074749	chr2-146958196-146959890
ENSMUSG00000027546	chr2-168911562-168913740
ENSMUSG00000086779	chr2-26314304-26317278
ENSMUSG00000086453	chr2-164174784-164175747
ENSMUSG00000027613	chr2-156143394-156145087
ENSMUSG00000027551	chr2-168543951-168544735
ENSMUSG00000106093	chr3-105566530-105569251
ENSMUSG00000026860	chr2-30391897-30393332
ENSMUSG00000050373	chr2-165000921-165003284
ENSMUSG00000004364	chr1-80708449-80711400
ENSMUSG00000101840	chr1-75545840-75547234
ENSMUSG00000039239	chr1-186721886-186722767
ENSMUSG00000027239	chr2-91987054-91988148
ENSMUSG00000038486	chr3-95731649-95733481
ENSMUSG00000026311	chr1-91872096-91875387
ENSMUSG00000003660	chr2-127521012-127522545
ENSMUSG00000097433	chr1-136675246-136676761
ENSMUSG00000027351	chr2-117310829-117311768
ENSMUSG00000039463	chr2-167035961-167038853
ENSMUSG00000104093	chr3-65217269-65218502
ENSMUSG00000054312	chr3-96171532-96173172
ENSMUSG00000026799	chr2-29235597-29236219
ENSMUSG00000027778	chr3-69361533-69363010
ENSMUSG00000027163	chr2-101628292-101629471
ENSMUSG00000010538	chr3-88578881-88580267
ENSMUSG00000027751	chr3-55086788-55087880
ENSMUSG00000027223	chr2-92391792-92392892
ENSMUSG00000027357	chr2-132733372-132734591
ENSMUSG00000027067	chr2-84810613-84811660
ENSMUSG00000057363	chr1-43862214-43863291
ENSMUSG00000005510	chr2-90950294-90951819
ENSMUSG00000039059	chr2-179811699-179814279
ENSMUSG00000063972	chr2-38402507-38403780
ENSMUSG00000057234	chr2-109280187-109281303
ENSMUSG00000026447	chr1-133394025-133395525
ENSMUSG00000036646	chr2-25265935-25267625
ENSMUSG00000026077	chr1-39028792-39030171
ENSMUSG00000026434	chr1-132088026-132089019
ENSMUSG00000036353	chr3-59119860-59121747
ENSMUSG00000045624	chr2-140293447-140294792
ENSMUSG00000104677	chr3-55476238-55477286
ENSMUSG00000052310	chr3-89695992-89697133
ENSMUSG00000039648	chr2-29603801-29606749
ENSMUSG00000026858	chr2-30463225-30464609
ENSMUSG00000026239	chr1-86833765-86835979
ENSMUSG00000002103	chr2-91194338-91195447
ENSMUSG00000026853	chr2-30061862-30063070
