peak	gene	score
chr1-41026867-41028653	ENSMUSG00000026062	0.349126298315836
chr1-43163134-43164486	ENSMUSG00000060424	0.330892413090586
chr1-42850736-42852188	ENSMUSG00000070939	-0.144506591678027
chr1-43473896-43475761	ENSMUSG00000070939	0.211861974368234
chr1-43163134-43164486	ENSMUSG00000008136	0.210934355055958
chr1-43530874-43531878	ENSMUSG00000008136	-0.163698673308112
chr1-43826829-43828715	ENSMUSG00000066877	0.194862266329252
chr1-43862214-43863291	ENSMUSG00000066877	0.218499846060947
chr1-43489235-43490168	ENSMUSG00000057363	-0.159594289111977
chr1-43732228-43733308	ENSMUSG00000057363	0.320254187951121
chr1-43862214-43863291	ENSMUSG00000041684	-0.164917227929206
chr1-43933118-43934609	ENSMUSG00000041684	0.216449644545104
chr1-50961062-50963583	ENSMUSG00000026109	0.340299143983496
chr1-51198989-51200241	ENSMUSG00000101799	-0.158897160911142
chr1-51514399-51515953	ENSMUSG00000101799	0.180471793083197
chr1-52435316-52436536	ENSMUSG00000002881	0.201760557598814
chr1-52464648-52467038	ENSMUSG00000041439	0.34021324599666
chr1-52464648-52467038	ENSMUSG00000041426	-0.175976187615404
chr1-52499094-52501014	ENSMUSG00000041439	0.319038503511625
chr1-52630241-52631502	ENSMUSG00000041426	-0.155788330089863
chr1-52725927-52727833	ENSMUSG00000026102	0.205666044187671
chr1-52816462-52818219	ENSMUSG00000041439	-0.125054715442759
chr1-53312988-53314310	ENSMUSG00000026096	0.227591564234436
chr1-54556739-54558488	ENSMUSG00000042807	0.257034550300844
chr1-54556739-54558488	ENSMUSG00000052331	0.149422984776858
chr1-54925503-54926865	ENSMUSG00000073678	0.238519180885699
chr1-54713200-54714122	ENSMUSG00000025980	0.251593546851098
chr1-54898444-54899604	ENSMUSG00000052331	0.128258859762614
chr1-54925503-54926865	ENSMUSG00000025981	0.286240840853356
chr1-54925503-54926865	ENSMUSG00000025980	0.213792541138091
chr1-55025847-55027885	ENSMUSG00000052331	0.137471093839671
chr1-55052025-55053370	ENSMUSG00000038349	0.309757755041704
chr1-55087101-55088768	ENSMUSG00000025981	0.238115309746345
chr1-55087101-55088768	ENSMUSG00000073676	-0.172582985626463
chr1-56970825-56973822	ENSMUSG00000025971	0.217436790186295
chr1-57405934-57407323	ENSMUSG00000038305	0.206892584571963
chr1-57995334-57996557	ENSMUSG00000038305	-0.215074777037712
chr1-58736707-58737565	ENSMUSG00000026034	0.260912334263434
chr1-58972808-58974359	ENSMUSG00000026036	0.180128494553387
chr1-58972808-58974359	ENSMUSG00000026035	0.201050022939272
chr1-58504007-58505503	ENSMUSG00000026037	0.138158199751708
chr1-58504007-58505503	ENSMUSG00000038174	0.236865227211935
chr1-58972808-58974359	ENSMUSG00000085054	0.20126752508576
chr1-58585358-58586962	ENSMUSG00000038174	0.348442140663646
chr1-58585358-58586962	ENSMUSG00000026028	0.180708915525734
chr1-58736707-58737565	ENSMUSG00000026028	0.213822112104542
chr1-59566233-59567868	ENSMUSG00000026024	-0.143768803218468
chr1-59566233-59567868	ENSMUSG00000026020	-0.140001897779372
chr1-59573749-59575587	ENSMUSG00000026020	0.299086280981417
chr1-59591584-59594062	ENSMUSG00000026021	0.263627252672018
chr1-59669906-59671455	ENSMUSG00000026018	-0.162892592475074
chr1-60179831-60181335	ENSMUSG00000026020	0.300570589259372
chr1-59762318-59764239	ENSMUSG00000026017	0.224305726707967
chr1-59912406-59914188	ENSMUSG00000067336	-0.280013908998341
chr1-59987309-59988352	ENSMUSG00000067336	0.223779921189333
chr1-59912406-59914188	ENSMUSG00000041040	-0.261855934615232
chr1-59912406-59914188	ENSMUSG00000026018	-0.236682315601564
chr1-59912406-59914188	ENSMUSG00000073664	-0.164181227096543
chr1-59987309-59988352	ENSMUSG00000041040	0.211441707870823
chr1-60042311-60043586	ENSMUSG00000041040	0.166633589154105
chr1-60034757-60036140	ENSMUSG00000026782	-0.13804562891467
chr1-60097121-60099115	ENSMUSG00000026782	0.239461919519712
chr1-60565243-60567529	ENSMUSG00000073664	0.261366270103072
chr1-60408914-60410902	ENSMUSG00000026782	0.241835175717512
chr1-62901171-62902560	ENSMUSG00000040865	0.303706666001925
chr1-63112857-63114997	ENSMUSG00000040865	-0.123301042154815
chr1-63112857-63114997	ENSMUSG00000027520	0.231843985402494
chr1-63255282-63257107	ENSMUSG00000084799	0.422583692128046
chr1-63272266-63274640	ENSMUSG00000101599	0.187800133166868
chr1-63180969-63181548	ENSMUSG00000025967	0.222926627801219
chr1-63180969-63181548	ENSMUSG00000027520	0.279413263095267
chr1-63203398-63206186	ENSMUSG00000025964	0.265589495824808
chr1-64956162-64957608	ENSMUSG00000025958	-0.16465634715499
chr1-65178068-65180169	ENSMUSG00000044816	-0.192188018172721
chr1-66649265-66650515	ENSMUSG00000015222	0.336486588239708
chr1-66649265-66650515	ENSMUSG00000055567	0.247129463228222
chr1-66649265-66650515	ENSMUSG00000026004	0.256977916895463
chr1-69440740-69441645	ENSMUSG00000101156	0.145299145299145
chr1-69440740-69441645	ENSMUSG00000025997	0.15263006678812
chr1-72306483-72308086	ENSMUSG00000026187	-0.152027449852269
chr1-72535712-72537588	ENSMUSG00000026188	0.237317896478347
chr1-72582740-72583925	ENSMUSG00000026187	0.210003126736497
chr1-73913215-73915897	ENSMUSG00000006299	-0.163724322138845
chr1-74196599-74198904	ENSMUSG00000026174	0.232398368110127
chr1-74661024-74662741	ENSMUSG00000006304	0.302725033486353
chr1-74284128-74285788	ENSMUSG00000026135	0.26599404652278
chr1-74295035-74296545	ENSMUSG00000033364	-0.136301599765674
chr1-74661024-74662741	ENSMUSG00000006299	0.218632215735401
chr1-74397095-74398472	ENSMUSG00000026179	-0.189160102178341
chr1-74361783-74363830	ENSMUSG00000026171	-0.137080206222665
chr1-74437470-74439940	ENSMUSG00000026174	0.216968259058814
chr1-74505227-74507020	ENSMUSG00000026135	0.358044598649803
chr1-74505227-74507020	ENSMUSG00000033257	0.333886282877125
chr1-74802971-74803877	ENSMUSG00000033364	-0.172250992743861
chr1-74600538-74602035	ENSMUSG00000026171	0.154389816848948
chr1-74661024-74662741	ENSMUSG00000026135	0.263642900685032
chr1-74806434-74808617	ENSMUSG00000026135	0.275129502776495
chr1-74661024-74662741	ENSMUSG00000026171	0.169670598506704
chr1-74815900-74817689	ENSMUSG00000026171	0.154136862632697
chr1-74858081-74859030	ENSMUSG00000026171	0.273730925882174
chr1-74806434-74808617	ENSMUSG00000033124	0.187716208452811
chr1-75141172-75143491	ENSMUSG00000049339	-0.163822015694941
chr1-75338197-75340513	ENSMUSG00000049339	0.18124179577904
chr1-75381384-75383141	ENSMUSG00000049339	0.212651715705885
chr1-75545840-75547234	ENSMUSG00000049339	-0.147067462245285
chr1-75559189-75560280	ENSMUSG00000049339	0.176736709677165
chr1-75124231-75125615	ENSMUSG00000026207	0.199468691686992
chr1-75128550-75129614	ENSMUSG00000051703	0.21404275231274
chr1-75141172-75143491	ENSMUSG00000026199	0.189266649524646
chr1-75141172-75143491	ENSMUSG00000026207	-0.171393482133004
chr1-75210361-75211422	ENSMUSG00000026199	0.156903766878468
chr1-75316704-75318285	ENSMUSG00000026199	0.16484409777346
chr1-75504601-75506782	ENSMUSG00000026199	0.1855453468836
chr1-75381384-75383141	ENSMUSG00000033124	-0.174776449239349
chr1-75478709-75480119	ENSMUSG00000033124	0.282813197276727
chr1-75191293-75192819	ENSMUSG00000033061	-0.181493360030841
chr1-75191293-75192819	ENSMUSG00000026207	-0.189842547657714
chr1-75217318-75220028	ENSMUSG00000026202	-0.179334550997555
chr1-75457517-75459855	ENSMUSG00000026202	-0.190155631539667
chr1-75477256-75478361	ENSMUSG00000026202	0.206637484605456
chr1-75485965-75488330	ENSMUSG00000026202	-0.216105775424019
chr1-75210361-75211422	ENSMUSG00000033061	-0.196848953382089
chr1-75217318-75220028	ENSMUSG00000026204	-0.136927135812041
chr1-75235969-75237464	ENSMUSG00000006576	0.232939736129048
chr1-75247165-75248646	ENSMUSG00000026204	0.233383868308333
chr1-75262858-75264817	ENSMUSG00000026204	0.30618111155438
chr1-75587591-75589804	ENSMUSG00000026204	-0.125845556426908
chr1-75244242-75246805	ENSMUSG00000006576	0.255807748616568
chr1-75282819-75283610	ENSMUSG00000033061	0.135945316351137
chr1-75381384-75383141	ENSMUSG00000033061	0.20921708780675
chr1-75485965-75488330	ENSMUSG00000026207	0.227981585414815
chr1-75478709-75480119	ENSMUSG00000051703	0.321566486107512
chr1-75485965-75488330	ENSMUSG00000006576	0.29398551242087
chr1-75559189-75560280	ENSMUSG00000006576	0.214952436739531
chr1-75561587-75562593	ENSMUSG00000006576	0.257800815040287
chr1-77895203-77897058	ENSMUSG00000026235	-0.163531576720143
chr1-79670737-79672482	ENSMUSG00000050711	0.61246336679811
chr1-80581848-80584015	ENSMUSG00000038608	0.313091898386451
chr1-80602772-80604049	ENSMUSG00000054976	0.254062210130694
chr1-83117403-83118286	ENSMUSG00000026163	0.236697503768947
chr1-83582377-83583881	ENSMUSG00000026163	0.263400365268462
chr1-84522561-84523857	ENSMUSG00000045658	0.272608387626888
chr1-84385954-84388098	ENSMUSG00000036766	0.247374096610493
chr1-84385954-84388098	ENSMUSG00000026219	0.351440352108181
chr1-84426574-84429082	ENSMUSG00000026219	-0.131806084158281
chr1-84522561-84523857	ENSMUSG00000036766	-0.1717113393161
chr1-84694403-84696514	ENSMUSG00000026219	-0.213472707539316
chr1-86058942-86059911	ENSMUSG00000036707	-0.16180653190635
chr1-85857277-85858182	ENSMUSG00000026229	0.169079674936373
chr1-85893972-85895980	ENSMUSG00000062590	0.237590529031741
chr1-86058942-86059911	ENSMUSG00000026229	-0.247902975462628
chr1-86031721-86032992	ENSMUSG00000026238	-0.181504351567866
chr1-86045595-86047705	ENSMUSG00000062590	-0.180254963496716
chr1-86058942-86059911	ENSMUSG00000062590	-0.228100390197273
chr1-86389111-86389946	ENSMUSG00000062590	0.277667576564225
chr1-86440246-86440990	ENSMUSG00000062590	-0.184359135795663
chr1-86524894-86527498	ENSMUSG00000062590	0.234869755364619
chr1-86500945-86502069	ENSMUSG00000026234	0.216362639204364
chr1-86358589-86360239	ENSMUSG00000026238	-0.187917385898426
chr1-86433971-86435928	ENSMUSG00000026239	0.288354923402608
chr1-86433971-86435928	ENSMUSG00000053333	0.228576095652768
chr1-86440246-86440990	ENSMUSG00000026238	-0.184253776055319
chr1-86500945-86502069	ENSMUSG00000026238	0.342356657425535
chr1-86500945-86502069	ENSMUSG00000026239	-0.174459360280472
chr1-86524894-86527498	ENSMUSG00000026239	0.314915684167995
chr1-86527876-86528850	ENSMUSG00000099401	-0.133234677505298
chr1-86669403-86671162	ENSMUSG00000026254	-0.191298851227287
chr1-86703096-86704437	ENSMUSG00000099401	-0.150918018682935
chr1-86833765-86835979	ENSMUSG00000099401	0.167004097718289
chr1-87184491-87185419	ENSMUSG00000026289	-0.175229924834307
chr1-87474149-87476380	ENSMUSG00000026289	0.171139438769025
chr1-87593996-87595306	ENSMUSG00000005501	-0.217757446176327
chr1-87739833-87741524	ENSMUSG00000005501	0.249293396268381
chr1-87812661-87814774	ENSMUSG00000070738	0.190211365082027
chr1-87812661-87814774	ENSMUSG00000005501	0.337725235185384
chr1-87848401-87849394	ENSMUSG00000005501	0.222829613808422
chr1-88756622-88758151	ENSMUSG00000036206	0.198201371311495
chr1-89416660-89417581	ENSMUSG00000036206	0.323171511778849
chr1-89049553-89051112	ENSMUSG00000055013	0.227691622449834
chr1-90220432-90222925	ENSMUSG00000034432	0.22003999069567
chr1-90837777-90839092	ENSMUSG00000034432	-0.188957382617173
chr1-90896440-90897691	ENSMUSG00000026305	-0.152620165748672
chr1-90998061-91000152	ENSMUSG00000026305	0.222331521134012
chr1-91062155-91063550	ENSMUSG00000026305	0.225338691712391
chr1-91178971-91182533	ENSMUSG00000034353	0.34199726598551
chr1-91206755-91207450	ENSMUSG00000034353	0.234430417821533
chr1-91178971-91182533	ENSMUSG00000034343	0.477016925674873
chr1-91206755-91207450	ENSMUSG00000034292	-0.166678039683535
chr1-91249609-91251277	ENSMUSG00000055866	0.122427358412309
chr1-91493926-91495523	ENSMUSG00000026309	0.255244598539809
chr1-91539576-91541353	ENSMUSG00000055866	0.127486283232704
chr1-91412061-91414735	ENSMUSG00000034292	0.304369966470001
chr1-91539576-91541353	ENSMUSG00000034292	-0.176016763186975
chr1-91923379-91923995	ENSMUSG00000026313	-0.17160086660382
chr1-92239848-92240782	ENSMUSG00000026313	0.206382444069595
chr1-92239848-92240782	ENSMUSG00000073616	0.270830555058195
chr1-92370845-92372700	ENSMUSG00000026269	0.339696056618647
chr1-92370845-92372700	ENSMUSG00000026270	0.163907509412446
chr1-92473018-92474551	ENSMUSG00000026269	0.177812502924633
chr1-92517849-92519562	ENSMUSG00000073616	0.219256740049927
chr1-92517849-92519562	ENSMUSG00000026269	0.183513961621568
chr1-92682988-92684084	ENSMUSG00000073616	-0.158563291121164
chr1-92781643-92783220	ENSMUSG00000073616	0.252521925499055
chr1-92799431-92800460	ENSMUSG00000073616	-0.157046084833028
chr1-92637958-92639109	ENSMUSG00000026269	0.183513961621568
chr1-92647646-92649221	ENSMUSG00000026269	0.201092674778055
chr1-92647646-92649221	ENSMUSG00000100632	-0.167280201645191
chr1-92711434-92713053	ENSMUSG00000026269	0.24795931276519
chr1-92711434-92713053	ENSMUSG00000026270	0.149923527907342
chr1-93070857-93072133	ENSMUSG00000034220	0.249638861042563
chr1-92781643-92783220	ENSMUSG00000100632	0.38504409136055
chr1-93013643-93015790	ENSMUSG00000026269	0.169605717054567
chr1-92933878-92935308	ENSMUSG00000100632	0.185492760737483
chr1-93070857-93072133	ENSMUSG00000100632	0.219779630637474
chr1-92933878-92935308	ENSMUSG00000026273	-0.245271700199633
chr1-93511405-93512870	ENSMUSG00000014602	0.286734372192537
chr1-93114683-93115776	ENSMUSG00000026273	0.138999435579195
chr1-93114683-93115776	ENSMUSG00000034066	-0.206141717909119
chr1-93128497-93129330	ENSMUSG00000026273	0.165228886737568
chr1-93342546-93344095	ENSMUSG00000026275	0.339077404894318
chr1-93342546-93344095	ENSMUSG00000026277	0.213837323506984
chr1-93342546-93344095	ENSMUSG00000026280	0.229603224799939
chr1-93444179-93446285	ENSMUSG00000034088	0.221377195436537
chr1-93824371-93826775	ENSMUSG00000034088	-0.24753108062515
chr1-93477869-93479803	ENSMUSG00000026280	0.200570612321893
chr1-93511405-93512870	ENSMUSG00000026277	0.248264279754575
chr1-93577108-93578509	ENSMUSG00000026279	0.403271840766812
chr1-93633821-93636530	ENSMUSG00000026277	0.264336780286849
chr1-93803472-93804829	ENSMUSG00000026277	-0.16326528302
chr1-93824371-93826775	ENSMUSG00000026278	0.266933548901935
chr1-94034738-94036112	ENSMUSG00000026279	0.185361561759217
chr1-95666792-95668689	ENSMUSG00000040710	0.211331225106323
chr1-97862285-97864549	ENSMUSG00000026333	0.276837263899593
chr1-98002266-98003522	ENSMUSG00000026333	0.2098847684682
chr1-98031495-98032396	ENSMUSG00000026333	0.264666757964971
chr1-98002266-98003522	ENSMUSG00000026335	0.273283847444328
chr1-105066914-105068647	ENSMUSG00000050840	-0.179578559526958
chr1-105741925-105743007	ENSMUSG00000038866	-0.176564605603837
chr1-106070614-106072470	ENSMUSG00000044340	-0.145907414954962
chr1-106400509-106401679	ENSMUSG00000057329	0.395869664293475
chr1-106758688-106760512	ENSMUSG00000009905	0.170592094887437
chr1-118388219-118390617	ENSMUSG00000026374	0.264734883886743
chr1-118434748-118436537	ENSMUSG00000064302	0.153085736180242
chr1-118458752-118460351	ENSMUSG00000064302	-0.165057394837938
chr1-119912686-119913721	ENSMUSG00000026384	0.224905884706111
chr1-119836518-119838074	ENSMUSG00000026385	-0.158332913560356
chr1-121550807-121552145	ENSMUSG00000003721	-0.135495015775302
chr1-121390572-121391634	ENSMUSG00000026339	0.218356284611456
chr1-121477889-121479645	ENSMUSG00000026339	0.112890797472026
chr1-126153310-126154488	ENSMUSG00000026344	-0.18112737567699
chr1-126264034-126265633	ENSMUSG00000049690	0.247067544115202
chr1-127868392-127869573	ENSMUSG00000026347	0.370595570337857
chr1-127945580-127947792	ENSMUSG00000026347	0.378997793364568
chr1-127975140-127976829	ENSMUSG00000026349	0.282871386544314
chr1-127975140-127976829	ENSMUSG00000036086	0.313151998172073
chr1-127975140-127976829	ENSMUSG00000056211	0.269204758090296
chr1-128466527-128467348	ENSMUSG00000036086	0.29359033736703
chr1-128102261-128104060	ENSMUSG00000056211	0.188305023864842
chr1-128466527-128467348	ENSMUSG00000056211	-0.147732060525626
chr1-129179950-129181159	ENSMUSG00000042581	-0.158177677194193
chr1-130462094-130463700	ENSMUSG00000026409	0.22473805648194
chr1-130740252-130741693	ENSMUSG00000046404	-0.126854659412344
chr1-131078665-131079501	ENSMUSG00000046404	0.249312771041505
chr1-131096362-131098200	ENSMUSG00000046404	-0.165506015343351
chr1-131096362-131098200	ENSMUSG00000026409	-0.163020608058384
chr1-131137684-131139024	ENSMUSG00000026409	-0.178365537621938
chr1-130691235-130692296	ENSMUSG00000026427	0.306827175534508
chr1-131073650-131075037	ENSMUSG00000016528	0.21244412698554
chr1-131137684-131139024	ENSMUSG00000016528	0.256097412198063
chr1-131525068-131528294	ENSMUSG00000016528	-0.160269059353345
chr1-131293234-131294581	ENSMUSG00000016526	-0.155484553125127
chr1-131525068-131528294	ENSMUSG00000026427	0.357615542927333
chr1-131152672-131154057	ENSMUSG00000026430	-0.136521504897324
chr1-131243502-131246846	ENSMUSG00000026425	0.186341103313457
chr1-131586492-131587699	ENSMUSG00000026434	0.161169099922102
chr1-131586492-131587699	ENSMUSG00000059149	0.229783191422791
chr1-131657619-131658594	ENSMUSG00000026434	0.141009628681645
chr1-131819967-131821536	ENSMUSG00000026434	0.21596795447607
chr1-131819967-131821536	ENSMUSG00000026436	0.304826577209031
chr1-131827312-131828819	ENSMUSG00000026436	0.257246758530667
chr1-131866878-131868220	ENSMUSG00000026434	0.215232835826328
chr1-131866878-131868220	ENSMUSG00000042046	0.281972320423069
chr1-132363987-132365435	ENSMUSG00000026436	0.231328604346573
chr1-132189948-132192446	ENSMUSG00000059149	-0.13452359920014
chr1-132387912-132388316	ENSMUSG00000059149	0.252262888626525
chr1-132007116-132008521	ENSMUSG00000042066	0.246190267526562
chr1-132189948-132192446	ENSMUSG00000097760	0.261229190245287
chr1-132211866-132213291	ENSMUSG00000026439	0.168088356477724
chr1-132417049-132418337	ENSMUSG00000042066	0.266647552831809
chr1-132738994-132740337	ENSMUSG00000042066	0.171428660677169
chr1-132476608-132477830	ENSMUSG00000042046	0.27682634484981
chr1-132716964-132719042	ENSMUSG00000042046	0.306641599980854
chr1-132389972-132392146	ENSMUSG00000097760	0.22553926719665
chr1-132417049-132418337	ENSMUSG00000097760	-0.16850763560359
chr1-132565036-132568394	ENSMUSG00000097760	0.361596815464381
chr1-132816614-132817966	ENSMUSG00000097760	0.181234623992805
chr1-132891936-132892651	ENSMUSG00000026439	0.192644258836233
chr1-132541335-132543354	ENSMUSG00000026443	0.315973709466918
chr1-132541335-132543354	ENSMUSG00000026447	0.365226634920652
chr1-132591049-132592701	ENSMUSG00000026443	0.219936360404433
chr1-132816614-132817966	ENSMUSG00000026442	0.290240670062772
chr1-132858225-132859500	ENSMUSG00000026442	-0.13510724722963
chr1-132716964-132719042	ENSMUSG00000026443	0.210007181153457
chr1-132745713-132746754	ENSMUSG00000026447	0.248071017240517
chr1-132758514-132759993	ENSMUSG00000026447	0.385656708424002
chr1-132858225-132859500	ENSMUSG00000026443	0.26219755658748
chr1-132879841-132882341	ENSMUSG00000026443	-0.204959633597508
chr1-132944236-132946414	ENSMUSG00000026443	0.199601614062933
chr1-133045495-133047137	ENSMUSG00000026443	-0.151744633874308
chr1-133180961-133183176	ENSMUSG00000026443	0.164471727735043
chr1-132816614-132817966	ENSMUSG00000026447	0.2500113413146
chr1-132858225-132859500	ENSMUSG00000054387	0.279520936096146
chr1-133045495-133047137	ENSMUSG00000054387	0.3114504676286
chr1-133130589-133132335	ENSMUSG00000026447	0.247268557998923
chr1-133024872-133026023	ENSMUSG00000041757	0.231068329634309
chr1-133225697-133227610	ENSMUSG00000090553	0.233871181810734
chr1-133907743-133909422	ENSMUSG00000090553	0.214964193179095
chr1-134082913-134083537	ENSMUSG00000026463	0.336291116708942
chr1-134098741-134099854	ENSMUSG00000026463	0.245504966823227
chr1-134195474-134197054	ENSMUSG00000026463	-0.14591296437526
chr1-133854276-133856448	ENSMUSG00000026458	0.299392020761129
chr1-133886385-133887942	ENSMUSG00000026455	-0.145468346715267
chr1-134092591-134094238	ENSMUSG00000020423	0.51522967120039
chr1-134119953-134121403	ENSMUSG00000020423	0.466999966835887
chr1-134060615-134061618	ENSMUSG00000042207	0.296867852749486
chr1-134077353-134080064	ENSMUSG00000042429	0.293830738268422
