ENSMUSG00000026131	chr1-34142890-34143876
ENSMUSG00000027298	chr2-119814364-119815436
ENSMUSG00000007097	chr1-172216746-172217770
ENSMUSG00000026135	chr1-74452535-74453363
ENSMUSG00000027291	chr2-119896765-119898640
ENSMUSG00000086638	chr2-156873472-156874386
ENSMUSG00000048486	chr2-163111345-163113375
ENSMUSG00000027333	chr2-131261690-131263249
ENSMUSG00000026409	chr1-130462094-130463700
ENSMUSG00000005886	chr1-13788959-13789963
ENSMUSG00000038530	chr1-169968711-169969899
ENSMUSG00000102142	chr1-138282488-138283840
ENSMUSG00000002546	chr2-32169223-32170330
ENSMUSG00000027889	chr3-107866918-107867749
ENSMUSG00000060985	chr1-155972350-155974345
ENSMUSG00000105655	chr3-105210942-105212308
ENSMUSG00000016257	chr2-174329070-174331150
ENSMUSG00000026048	chr1-44041392-44043359
ENSMUSG00000027544	chr2-168588439-168590684
ENSMUSG00000026270	chr1-92634791-92635673
ENSMUSG00000027942	chr3-89538977-89540595
ENSMUSG00000041879	chr1-135544351-135545580
ENSMUSG00000028163	chr3-135293594-135294328
ENSMUSG00000061175	chr3-79664090-79665260
ENSMUSG00000079502	chr2-28446095-28447686
ENSMUSG00000042642	chr3-89281908-89282380
ENSMUSG00000085102	chr3-108327065-108328994
ENSMUSG00000032869	chr2-152047139-152049476
ENSMUSG00000045624	chr2-140170015-140171665
ENSMUSG00000044991	chr2-132028908-132031044
ENSMUSG00000052428	chr1-167000360-167002853
ENSMUSG00000027472	chr2-152363461-152364142
ENSMUSG00000044167	chr3-51941110-51942608
ENSMUSG00000001416	chr3-88141879-88143735
ENSMUSG00000104302	chr1-160194427-160195892
ENSMUSG00000026655	chr2-3917765-3919218
ENSMUSG00000059316	chr2-29817473-29818333
ENSMUSG00000067787	chr2-157506323-157507582
ENSMUSG00000070372	chr3-104678575-104679382
ENSMUSG00000097899	chr1-39942728-39943381
ENSMUSG00000003134	chr1-39535220-39536606
ENSMUSG00000033377	chr3-117152615-117154399
ENSMUSG00000074884	chr2-121587980-121588975
ENSMUSG00000075419	chr2-30469668-30470900
ENSMUSG00000042359	chr2-75998130-75999916
ENSMUSG00000027583	chr2-181570879-181572556
ENSMUSG00000009563	chr2-32574790-32576247
ENSMUSG00000084859	chr2-4492334-4493528
ENSMUSG00000009216	chr2-26963864-26965236
ENSMUSG00000018196	chr1-143776390-143778018
ENSMUSG00000073609	chr1-93801533-93802298
ENSMUSG00000055567	chr1-66174782-66176545
ENSMUSG00000027312	chr2-130562789-130565313
ENSMUSG00000040035	chr2-118761778-118764890
ENSMUSG00000026546	chr1-172499997-172502386
ENSMUSG00000027583	chr2-181119811-181121915
ENSMUSG00000101799	chr1-51380078-51380886
ENSMUSG00000026923	chr2-26314304-26317278
ENSMUSG00000004768	chr1-33482922-33485007
ENSMUSG00000001416	chr3-88483291-88484156
ENSMUSG00000053024	chr1-132046215-132047065
ENSMUSG00000104677	chr3-55806071-55807611
ENSMUSG00000013997	chr1-170866990-170869145
ENSMUSG00000014601	chr3-107112729-107114795
ENSMUSG00000040836	chr1-164688998-164690301
ENSMUSG00000027939	chr3-89538977-89540595
ENSMUSG00000084892	chr2-30251505-30253239
ENSMUSG00000079484	chr2-30628191-30630285
ENSMUSG00000028059	chr3-88526148-88526701
ENSMUSG00000036093	chr2-52602028-52603705
ENSMUSG00000068735	chr2-93179636-93180803
ENSMUSG00000090272	chr1-173357505-173358403
ENSMUSG00000026775	chr2-23028534-23029473
ENSMUSG00000033557	chr1-156741643-156742984
ENSMUSG00000040612	chr1-166243310-166244887
ENSMUSG00000039983	chr2-119299800-119301575
ENSMUSG00000026974	chr2-24684191-24686183
ENSMUSG00000029419	chr2-25289651-25291486
ENSMUSG00000075284	chr2-73346127-73347336
ENSMUSG00000028005	chr3-81932176-81933384
ENSMUSG00000026781	chr2-23039059-23040790
ENSMUSG00000027589	chr2-181113574-181115307
ENSMUSG00000039483	chr2-30502939-30505036
ENSMUSG00000026810	chr2-32693684-32694723
ENSMUSG00000039536	chr2-166950792-166951925
ENSMUSG00000038349	chr1-55160855-55162353
ENSMUSG00000037652	chr3-31307831-31310856
ENSMUSG00000026632	chr1-191124561-191126436
ENSMUSG00000028126	chr3-95005305-95008408
ENSMUSG00000027778	chr3-68528946-68529694
ENSMUSG00000006476	chr2-24904877-24906112
ENSMUSG00000087625	chr3-33000193-33002324
ENSMUSG00000025956	chr1-64956162-64957608
ENSMUSG00000035877	chr2-160645327-160647043
ENSMUSG00000026439	chr1-132376406-132377669
ENSMUSG00000033147	chr3-101461842-101462887
ENSMUSG00000074212	chr3-137620323-137621068
ENSMUSG00000040843	chr1-165091253-165092504
ENSMUSG00000009418	chr1-135582900-135586024
ENSMUSG00000040713	chr1-165190500-165192262
ENSMUSG00000027109	chr2-73270491-73272081
ENSMUSG00000097316	chr1-192060826-192062485
ENSMUSG00000035392	chr2-38350435-38352315
ENSMUSG00000087131	chr1-38446199-38446913
ENSMUSG00000049401	chr2-180084175-180085395
ENSMUSG00000038323	chr1-57642043-57644243
ENSMUSG00000042272	chr2-76647238-76648937
ENSMUSG00000068479	chr2-120871305-120872725
ENSMUSG00000045576	chr3-104383322-104384761
ENSMUSG00000068966	chr2-32837947-32839846
ENSMUSG00000067787	chr2-157456915-157458239
ENSMUSG00000039157	chr2-32536286-32537304
ENSMUSG00000059588	chr2-84689706-84691453
ENSMUSG00000026655	chr2-3799610-3800813
ENSMUSG00000042814	chr2-152669100-152670522
ENSMUSG00000042404	chr3-90323047-90323784
ENSMUSG00000063273	chr3-50926411-50927998
ENSMUSG00000033902	chr2-119322299-119323090
ENSMUSG00000026199	chr1-75561587-75562593
ENSMUSG00000033061	chr1-75338197-75340513
ENSMUSG00000036160	chr2-27288767-27289658
ENSMUSG00000026753	chr2-38688329-38690489
ENSMUSG00000039844	chr2-29563136-29564884
ENSMUSG00000087260	chr3-107112729-107114795
ENSMUSG00000003458	chr1-172195666-172198135
ENSMUSG00000027889	chr3-108153941-108155158
ENSMUSG00000038369	chr2-155356777-155358292
ENSMUSG00000033883	chr3-36496717-36497224
ENSMUSG00000027777	chr3-68045626-68046425
ENSMUSG00000027770	chr3-62602563-62605388
ENSMUSG00000032968	chr1-75338197-75340513
ENSMUSG00000039648	chr2-30013487-30014969
ENSMUSG00000028053	chr3-88647851-88650403
ENSMUSG00000037902	chr2-129240517-129241954
ENSMUSG00000017664	chr2-165233245-165235374
ENSMUSG00000034032	chr2-119249816-119251644
ENSMUSG00000105245	chr3-97930952-97931962
ENSMUSG00000026790	chr2-29802300-29803802
ENSMUSG00000026790	chr2-29934812-29935826
ENSMUSG00000090077	chr2-181419457-181421212
ENSMUSG00000049866	chr1-88261898-88263125
ENSMUSG00000026827	chr2-57517471-57519384
ENSMUSG00000105753	chr3-105435919-105437044
ENSMUSG00000026457	chr1-134195474-134197054
ENSMUSG00000028086	chr3-84233698-84234783
ENSMUSG00000039069	chr2-179795024-179795934
ENSMUSG00000050947	chr3-108590560-108592504
ENSMUSG00000028085	chr3-84984802-84985937
ENSMUSG00000028053	chr3-89182639-89184645
ENSMUSG00000038990	chr2-179947204-179949078
ENSMUSG00000028107	chr3-96001012-96001987
ENSMUSG00000048100	chr3-108158201-108159403
ENSMUSG00000037843	chr2-157766409-157767515
ENSMUSG00000027194	chr2-94290287-94291121
ENSMUSG00000026798	chr2-30093196-30094575
ENSMUSG00000068264	chr2-130696408-130698398
ENSMUSG00000062580	chr1-135544351-135545580
ENSMUSG00000001018	chr3-90253606-90255239
ENSMUSG00000027475	chr2-153382783-153383946
ENSMUSG00000028102	chr3-96880287-96882763
ENSMUSG00000028019	chr3-80731267-80733030
ENSMUSG00000019710	chr3-88070275-88072534
ENSMUSG00000097428	chr3-88177360-88178498
ENSMUSG00000037259	chr2-144368344-144369716
ENSMUSG00000027297	chr2-119971187-119973581
ENSMUSG00000026544	chr1-172561691-172563758
ENSMUSG00000028126	chr3-95171858-95174682
ENSMUSG00000017754	chr2-164563382-164564656
ENSMUSG00000027642	chr2-157463343-157465451
ENSMUSG00000027223	chr2-92607769-92610216
ENSMUSG00000037885	chr2-129231618-129233080
ENSMUSG00000034349	chr3-68708966-68709732
ENSMUSG00000009563	chr2-32167172-32168348
ENSMUSG00000026083	chr1-37628393-37629367
ENSMUSG00000105552	chr3-89521573-89523229
ENSMUSG00000026988	chr2-59414110-59416181
ENSMUSG00000044042	chr2-113202532-113203666
ENSMUSG00000026116	chr1-37299479-37301448
ENSMUSG00000062908	chr3-153302066-153303901
ENSMUSG00000101599	chr1-62701078-62701481
ENSMUSG00000027387	chr2-128817231-128819213
ENSMUSG00000027371	chr2-127430037-127431022
ENSMUSG00000062580	chr1-134955131-134956393
ENSMUSG00000034032	chr2-119337355-119338525
ENSMUSG00000027894	chr3-107332076-107334373
ENSMUSG00000027612	chr2-155817823-155820150
ENSMUSG00000026078	chr1-39013411-39014633
ENSMUSG00000028019	chr3-80724675-80725878
ENSMUSG00000026749	chr2-38481007-38481883
ENSMUSG00000026470	chr1-154791425-154792493
ENSMUSG00000026857	chr2-30400728-30401883
ENSMUSG00000027583	chr2-181385809-181386520
ENSMUSG00000026516	chr1-181445769-181448666
ENSMUSG00000035093	chr2-125189180-125190415
ENSMUSG00000028057	chr3-88244032-88244594
ENSMUSG00000027584	chr2-181038093-181039904
ENSMUSG00000020423	chr1-133660455-133661771
ENSMUSG00000001016	chr3-90219937-90221165
ENSMUSG00000025816	chr2-6220030-6220830
ENSMUSG00000059149	chr1-132088026-132089019
ENSMUSG00000004897	chr3-87524896-87526533
ENSMUSG00000033701	chr1-155442190-155443375
ENSMUSG00000039001	chr2-180024226-180025883
ENSMUSG00000028047	chr3-89316751-89317273
ENSMUSG00000085386	chr2-66256001-66257570
ENSMUSG00000068749	chr3-107806673-107808510
ENSMUSG00000039621	chr2-166544424-166545447
ENSMUSG00000090071	chr1-75128550-75129614
ENSMUSG00000026799	chr2-29319858-29321254
ENSMUSG00000017734	chr2-164530959-164532211
ENSMUSG00000028039	chr3-89484633-89485742
ENSMUSG00000027895	chr3-107863525-107864378
ENSMUSG00000027544	chr2-168369087-168370500
ENSMUSG00000028063	chr3-88144044-88144538
ENSMUSG00000017679	chr2-163534728-163535698
ENSMUSG00000109946	chr2-27425587-27427444
ENSMUSG00000050967	chr1-39962360-39963581
ENSMUSG00000026087	chr1-37917224-37918831
ENSMUSG00000006301	chr1-73913215-73915897
ENSMUSG00000027296	chr2-119166870-119168212
ENSMUSG00000033486	chr2-121682348-121684005
ENSMUSG00000027581	chr2-180860952-180862460
ENSMUSG00000103983	chr1-170857161-170858016
ENSMUSG00000097167	chr3-94820923-94822649
ENSMUSG00000026499	chr1-180762892-180764375
ENSMUSG00000000340	chr3-116015041-116017182
ENSMUSG00000046793	chr3-108158201-108159403
ENSMUSG00000069114	chr3-9003703-9005107
ENSMUSG00000003617	chr3-20034607-20035912
ENSMUSG00000048109	chr3-107462122-107462482
ENSMUSG00000015711	chr3-95493722-95495347
ENSMUSG00000039831	chr3-121777146-121778869
ENSMUSG00000039701	chr3-122827460-122829875
ENSMUSG00000034850	chr2-127521012-127522545
ENSMUSG00000016386	chr2-106973599-106974821
ENSMUSG00000002546	chr2-32349527-32350005
ENSMUSG00000039286	chr3-28262448-28264973
ENSMUSG00000038331	chr1-57428371-57429535
ENSMUSG00000068923	chr3-88552428-88554607
ENSMUSG00000002718	chr2-166785955-166787229
ENSMUSG00000098051	chr2-180170508-180172391
ENSMUSG00000026788	chr2-32981198-32983013
ENSMUSG00000073530	chr1-158547133-158548477
ENSMUSG00000001999	chr2-126765233-126767040
ENSMUSG00000062580	chr1-135374075-135375767
ENSMUSG00000037110	chr2-145934155-145935284
ENSMUSG00000013698	chr1-172297061-172298586
ENSMUSG00000040724	chr3-107362722-107364314
ENSMUSG00000085102	chr3-108185892-108187591
ENSMUSG00000041926	chr1-134908711-134910348
ENSMUSG00000085316	chr2-116922791-116924563
ENSMUSG00000102416	chr1-36323680-36324594
ENSMUSG00000002546	chr2-32428166-32429113
ENSMUSG00000027582	chr2-181385809-181386520
ENSMUSG00000027452	chr2-150362200-150363191
ENSMUSG00000042046	chr1-132836316-132837929
ENSMUSG00000028051	chr3-88832382-88832860
ENSMUSG00000028047	chr3-89538977-89540595
ENSMUSG00000026860	chr2-30118992-30120234
ENSMUSG00000013973	chr1-171630822-171631993
ENSMUSG00000042429	chr1-134335406-134336190
ENSMUSG00000027895	chr3-107332076-107334373
ENSMUSG00000017299	chr2-164785156-164787463
ENSMUSG00000027956	chr3-80004209-80005898
ENSMUSG00000041757	chr1-133320783-133321986
ENSMUSG00000026436	chr1-132012668-132014149
ENSMUSG00000005774	chr3-95141482-95143104
ENSMUSG00000073656	chr1-66410014-66411060
ENSMUSG00000014077	chr2-119864092-119865340
ENSMUSG00000026792	chr2-32574790-32576247
ENSMUSG00000027531	chr3-9947246-9948670
ENSMUSG00000027951	chr3-89421167-89421934
ENSMUSG00000027739	chr3-51795671-51797172
ENSMUSG00000105265	chr3-33824041-33825335
ENSMUSG00000026207	chr1-75387324-75388883
ENSMUSG00000032680	chr2-152104833-152106069
ENSMUSG00000026443	chr1-132430757-132432457
ENSMUSG00000033257	chr1-74600538-74602035
ENSMUSG00000101693	chr1-133660455-133661771
ENSMUSG00000027002	chr2-80046282-80047517
ENSMUSG00000026576	chr1-164753360-164754310
ENSMUSG00000027340	chr2-131587086-131588475
ENSMUSG00000015337	chr2-30236820-30238544
ENSMUSG00000101799	chr1-51243031-51244189
ENSMUSG00000074627	chr2-157049522-157050452
ENSMUSG00000058407	chr1-38185309-38186494
ENSMUSG00000050211	chr2-119618014-119619061
ENSMUSG00000027244	chr2-91959003-91959473
ENSMUSG00000042215	chr1-33738616-33739918
ENSMUSG00000034154	chr2-119743844-119745548
ENSMUSG00000007476	chr2-30495150-30496759
ENSMUSG00000058740	chr2-25574132-25575332
ENSMUSG00000037771	chr2-158347700-158348334
ENSMUSG00000039678	chr2-29819784-29821174
ENSMUSG00000026200	chr1-75217318-75220028
ENSMUSG00000016356	chr2-180431822-180434237
ENSMUSG00000002546	chr2-32360605-32362052
ENSMUSG00000055485	chr2-156515138-156516324
ENSMUSG00000009549	chr2-118706225-118706888
ENSMUSG00000004085	chr2-71980429-71982758
ENSMUSG00000026553	chr1-172375994-172377411
ENSMUSG00000028059	chr3-88685132-88686645
ENSMUSG00000068040	chr2-152543928-152545266
ENSMUSG00000062661	chr2-30782925-30783753
ENSMUSG00000068040	chr2-152782739-152783665
ENSMUSG00000027428	chr2-144368344-144369716
ENSMUSG00000027193	chr2-93902758-93904084
ENSMUSG00000027896	chr3-107630610-107632328
ENSMUSG00000068115	chr2-150660441-150661645
ENSMUSG00000016257	chr2-174673343-174674880
ENSMUSG00000027589	chr2-181930236-181931596
ENSMUSG00000027489	chr2-154537453-154540300
ENSMUSG00000015522	chr3-95516919-95518253
ENSMUSG00000091337	chr2-125118950-125119883
ENSMUSG00000026648	chr2-3217925-3219815
ENSMUSG00000075538	chr2-6720756-6722618
ENSMUSG00000026187	chr1-72492531-72493226
ENSMUSG00000026469	chr1-155233659-155234720
ENSMUSG00000027893	chr3-107868796-107869839
ENSMUSG00000070953	chr2-34753680-34755400
ENSMUSG00000074872	chr2-125208880-125209924
ENSMUSG00000027489	chr2-154557931-154559220
ENSMUSG00000026994	chr2-65979329-65980990
ENSMUSG00000052310	chr3-90490418-90491613
ENSMUSG00000027466	chr2-152226240-152227603
ENSMUSG00000050714	chr2-37451665-37453231
ENSMUSG00000017707	chr2-163332242-163333268
ENSMUSG00000044627	chr2-32340912-32343594
ENSMUSG00000041921	chr2-71274077-71275534
ENSMUSG00000040389	chr3-108653717-108654956
ENSMUSG00000027525	chr2-178174116-178175849
ENSMUSG00000062590	chr1-86175139-86176227
ENSMUSG00000073557	chr1-135171744-135172533
ENSMUSG00000005102	chr2-118447834-118449187
ENSMUSG00000016526	chr1-131152672-131154057
ENSMUSG00000074627	chr2-157006533-157007685
ENSMUSG00000058135	chr3-107985167-107987046
ENSMUSG00000039648	chr2-30495150-30496759
ENSMUSG00000003135	chr1-39441558-39442156
ENSMUSG00000057110	chr2-34796873-34797542
ENSMUSG00000061689	chr2-156179362-156181460
ENSMUSG00000051817	chr2-152679726-152680888
ENSMUSG00000026860	chr2-30251505-30253239
ENSMUSG00000027300	chr2-130036803-130038174
ENSMUSG00000026843	chr2-30962049-30963370
ENSMUSG00000026858	chr2-30414876-30416695
ENSMUSG00000039354	chr1-72809978-72811017
ENSMUSG00000048000	chr1-87326337-87327920
ENSMUSG00000051444	chr3-37203710-37204906
ENSMUSG00000037885	chr2-129257525-129259500
ENSMUSG00000101693	chr1-132944236-132946414
ENSMUSG00000026197	chr1-75338197-75340513
ENSMUSG00000036850	chr2-25064321-25066135
ENSMUSG00000105245	chr3-97657531-97659244
ENSMUSG00000015943	chr3-96541328-96543861
ENSMUSG00000027227	chr2-121716730-121717616
ENSMUSG00000027508	chr3-10342132-10343221
ENSMUSG00000053333	chr1-86441325-86443276
ENSMUSG00000026662	chr2-4918521-4919726
ENSMUSG00000027286	chr2-120770137-120771257
ENSMUSG00000036186	chr2-26963864-26965236
ENSMUSG00000042737	chr3-89101399-89102459
ENSMUSG00000041670	chr1-22803296-22807180
ENSMUSG00000074664	chr3-26639050-26641159
ENSMUSG00000017754	chr2-164456823-164457401
ENSMUSG00000005089	chr2-102091359-102092396
ENSMUSG00000054766	chr2-29787410-29788727
ENSMUSG00000058407	chr1-38511425-38513764
ENSMUSG00000008475	chr1-153011327-153012208
ENSMUSG00000000308	chr2-121620411-121622170
ENSMUSG00000026110	chr1-37366977-37369484
ENSMUSG00000027634	chr2-156597825-156598792
ENSMUSG00000002718	chr2-167167363-167168428
ENSMUSG00000061689	chr2-156862057-156863858
ENSMUSG00000097760	chr1-132893316-132894081
ENSMUSG00000026204	chr1-75277271-75278779
ENSMUSG00000027886	chr3-108307403-108308251
ENSMUSG00000097760	chr1-132186192-132186940
ENSMUSG00000026223	chr1-85869723-85871181
ENSMUSG00000026688	chr1-167000360-167002853
ENSMUSG00000008226	chr2-73428424-73429708
ENSMUSG00000055371	chr2-52533242-52534518
ENSMUSG00000038831	chr2-33746368-33747244
ENSMUSG00000098145	chr1-138244013-138245979
ENSMUSG00000058594	chr2-11496329-11497019
ENSMUSG00000025971	chr1-57819968-57821373
ENSMUSG00000038740	chr2-33393583-33394776
ENSMUSG00000027939	chr3-90475465-90476790
ENSMUSG00000026791	chr2-32981198-32983013
ENSMUSG00000039059	chr2-180176915-180178642
ENSMUSG00000026670	chr1-170136227-170137730
ENSMUSG00000079045	chr1-189882470-189884139
ENSMUSG00000001418	chr3-88647851-88650403
ENSMUSG00000026806	chr2-28518133-28518802
ENSMUSG00000027175	chr2-104849036-104850251
ENSMUSG00000074749	chr2-147177641-147179245
ENSMUSG00000042814	chr2-152612032-152612858
ENSMUSG00000086353	chr2-48186147-48187185
ENSMUSG00000026463	chr1-134198450-134199171
ENSMUSG00000039021	chr2-32287479-32288959
ENSMUSG00000068921	chr3-89281908-89282380
ENSMUSG00000067879	chr1-9544963-9546549
ENSMUSG00000041757	chr1-132641012-132641974
ENSMUSG00000009563	chr2-32927692-32928872
ENSMUSG00000006418	chr2-167062333-167063705
ENSMUSG00000050043	chr2-84024673-84025928
ENSMUSG00000015094	chr2-25546395-25547353
ENSMUSG00000027566	chr2-179598196-179599682
ENSMUSG00000026926	chr2-26156166-26157269
ENSMUSG00000063145	chr2-69646700-69647867
ENSMUSG00000006301	chr1-74815900-74817689
ENSMUSG00000026664	chr2-4542064-4543702
ENSMUSG00000005804	chr2-122374822-122376475
ENSMUSG00000053164	chr2-37382673-37383815
ENSMUSG00000026577	chr1-164589768-164591010
ENSMUSG00000017764	chr2-165042803-165044138
ENSMUSG00000027457	chr2-151573524-151574211
ENSMUSG00000047496	chr1-105177539-105179965
ENSMUSG00000038685	chr2-180860952-180862460
ENSMUSG00000023087	chr3-50815463-50817602
ENSMUSG00000027523	chr2-173789545-173791774
ENSMUSG00000027628	chr2-156580841-156582028
ENSMUSG00000038370	chr1-171195058-171196524
ENSMUSG00000093424	chr3-95024396-95025614
ENSMUSG00000089917	chr2-181186321-181188203
ENSMUSG00000049044	chr2-72252652-72255406
ENSMUSG00000027076	chr2-84797787-84799883
ENSMUSG00000026393	chr1-138856475-138857486
ENSMUSG00000069020	chr2-30065914-30067552
ENSMUSG00000005625	chr3-94648689-94650872
ENSMUSG00000075028	chr2-92442198-92442958
ENSMUSG00000027584	chr2-181692970-181694410
ENSMUSG00000087355	chr2-4221492-4222841
ENSMUSG00000008200	chr2-90904013-90905234
ENSMUSG00000026958	chr2-25580615-25583426
ENSMUSG00000039157	chr2-32845855-32847672
ENSMUSG00000027933	chr3-89962286-89963812
ENSMUSG00000026083	chr1-38240069-38242207
ENSMUSG00000026991	chr2-58667381-58668668
ENSMUSG00000039037	chr3-152516040-152517115
ENSMUSG00000039701	chr3-122287560-122288579
ENSMUSG00000027217	chr2-92839854-92840677
ENSMUSG00000026817	chr2-32854142-32854603
ENSMUSG00000101840	chr1-74806434-74808617
ENSMUSG00000051344	chr1-65009100-65010769
ENSMUSG00000010492	chr2-181670128-181671942
ENSMUSG00000017969	chr2-167128961-167131056
ENSMUSG00000026150	chr1-82793760-82794594
ENSMUSG00000027667	chr3-32697761-32698886
ENSMUSG00000045822	chr2-164167749-164169064
ENSMUSG00000061175	chr3-79628128-79629713
ENSMUSG00000027263	chr2-120589496-120590977
ENSMUSG00000038685	chr2-180701108-180702808
ENSMUSG00000027508	chr3-9959238-9961121
ENSMUSG00000097428	chr3-88144044-88144538
ENSMUSG00000085436	chr2-164910502-164912646
ENSMUSG00000075419	chr2-30236820-30238544
ENSMUSG00000027540	chr2-168205225-168207811
ENSMUSG00000048911	chr2-131159381-131161134
ENSMUSG00000033256	chr2-122531104-122532481
ENSMUSG00000073616	chr1-92830785-92832936
ENSMUSG00000026430	chr1-131181270-131182605
ENSMUSG00000028060	chr3-88771632-88772193
ENSMUSG00000017760	chr2-164496792-164498138
ENSMUSG00000074582	chr2-166551693-166553167
ENSMUSG00000003721	chr1-121180036-121181027
ENSMUSG00000079671	chr1-9747454-9748896
ENSMUSG00000026925	chr2-26359747-26361254
ENSMUSG00000027438	chr2-148872738-148873604
ENSMUSG00000044167	chr3-52139549-52141065
ENSMUSG00000027882	chr3-108294472-108295824
ENSMUSG00000097316	chr1-191784351-191787934
ENSMUSG00000027285	chr2-120539380-120540764
ENSMUSG00000059742	chr2-62806785-62808040
ENSMUSG00000053552	chr2-130177694-130179900
ENSMUSG00000041879	chr1-135474586-135476431
ENSMUSG00000105552	chr3-90372679-90374545
ENSMUSG00000026858	chr2-30265299-30266900
ENSMUSG00000041757	chr1-132745713-132746754
ENSMUSG00000036202	chr2-51767680-51769455
ENSMUSG00000026199	chr1-74859411-74860147
ENSMUSG00000042854	chr2-166153945-166155951
ENSMUSG00000028101	chr3-96719029-96720225
ENSMUSG00000027419	chr2-143695677-143697105
ENSMUSG00000027796	chr3-55067585-55068604
ENSMUSG00000074754	chr2-144593620-144594751
ENSMUSG00000074682	chr2-152343026-152344927
ENSMUSG00000026443	chr1-132581784-132583988
ENSMUSG00000068798	chr3-105695475-105696801
ENSMUSG00000055547	chr1-152368720-152369981
ENSMUSG00000074457	chr3-90513924-90515677
ENSMUSG00000074968	chr2-110475826-110477661
ENSMUSG00000039262	chr2-32349527-32350005
ENSMUSG00000085001	chr2-71697545-71699553
ENSMUSG00000027304	chr2-119841843-119842916
ENSMUSG00000026856	chr2-30606455-30607434
ENSMUSG00000045576	chr3-104671396-104672267
ENSMUSG00000085741	chr2-156647958-156649731
ENSMUSG00000028104	chr3-96880287-96882763
ENSMUSG00000036992	chr2-148599250-148600328
ENSMUSG00000026626	chr1-190971450-190973349
ENSMUSG00000026439	chr1-132591049-132592701
ENSMUSG00000026197	chr1-75277271-75278779
ENSMUSG00000056050	chr1-182896501-182898393
ENSMUSG00000026062	chr1-40617115-40617938
ENSMUSG00000026017	chr1-60565243-60567529
ENSMUSG00000049097	chr3-96557187-96558481
ENSMUSG00000059013	chr2-32917155-32917949
ENSMUSG00000040339	chr3-108561766-108563665
ENSMUSG00000053483	chr1-171036634-171037365
ENSMUSG00000038705	chr2-181385809-181386520
ENSMUSG00000027223	chr2-92687472-92688318
ENSMUSG00000042662	chr2-152410905-152411595
ENSMUSG00000027673	chr3-32347439-32348725
ENSMUSG00000026701	chr1-160627949-160629013
ENSMUSG00000026280	chr1-93577108-93578509
ENSMUSG00000026047	chr1-43877105-43878445
